scenario,seed,algo,user,dst,is_cloud,deadline,delay,excess,slack,L_u,O_u_bits,p_u,gateway,assigned_server,assigned_cores_len
1,1,Greedy,27,6,0,0.10406483088174794,0.061519212159927034,0.0,0.0425456187218209,2000000000.0,1638400.0,0.11341339751217833,6,6,1
1,1,Greedy,28,6,0,0.10567612977888262,0.10086025512428684,0.0,0.004815874654595778,1000000000.0,1228800.0,0.10459871806705157,6,6,1
1,1,Greedy,29,8,1,0.10628267791204604,0.0650860646623811,0.0,0.04119661324966495,1000000000.0,1638400.0,0.11748355378976237,6,-1,0
1,1,Greedy,30,7,0,0.10626095717639876,0.22640114543832185,0.12014018826192309,-0.12014018826192309,1000000000.0,1638400.0,0.11917987167235665,7,7,1
1,1,Greedy,31,8,1,0.11153399432505905,0.06810252693397463,0.0,0.043431467391084416,1500000000.0,819200.0,0.15369720795717928,1,-1,0
1,1,Greedy,32,8,1,0.11943379951239509,0.0878897312939251,0.0,0.03154406821846999,2000000000.0,1228800.0,0.14510388861713913,5,-1,0
1,1,Greedy,33,8,1,0.11549328269847464,0.053319231131537706,0.0,0.062174051566936936,1000000000.0,819200.0,0.19572943672535376,1,-1,0
1,1,Greedy,34,8,1,0.1158226789634561,0.10006187520118973,0.0,0.01576080376226638,1500000000.0,1638400.0,0.19541513368666424,3,-1,0
1,1,Greedy,35,1,0,0.1151853700107916,0.10174505737813802,0.0,0.013440312632653578,1500000000.0,1228800.0,0.17965461104684305,1,1,1
1,1,Greedy,36,8,1,0.11193975461047513,0.10973631217442914,0.0,0.002203442436045991,2000000000.0,1638400.0,0.16715876339807034,5,-1,0
1,1,Greedy,37,8,1,0.11835384514341825,0.05719396142504806,0.0,0.06115988371837019,1000000000.0,1638400.0,0.18450230915683466,5,-1,0
1,1,Greedy,38,8,1,0.11379260310894161,0.07627426013426027,0.0,0.037518342974681346,1500000000.0,1638400.0,0.19387518284798846,3,-1,0
1,1,Greedy,39,8,1,0.11000712861473742,0.0671163036163585,0.0,0.04289082499837893,1000000000.0,1638400.0,0.10226177288870028,5,-1,0
1,1,Greedy,40,8,1,0.10154167617001078,0.06033922723156878,0.0,0.041202448938442,1000000000.0,1638400.0,0.11181052271508587,2,-1,0
1,1,Greedy,41,8,1,0.10976898454171048,0.09823833208136636,0.0,0.011530652460344126,2000000000.0,819200.0,0.13602638846836432,2,-1,0
1,1,Greedy,42,8,1,0.1042566199068067,0.058225704211231834,0.0,0.04603091569557486,1000000000.0,819200.0,0.10935868530425998,2,-1,0
1,1,Greedy,43,8,1,0.10265392595093575,0.06247916635543301,0.0,0.04017475959550274,1000000000.0,1228800.0,0.15995244730532773,2,-1,0
1,1,Greedy,44,7,0,0.11012129845058746,0.06622559907712368,0.0,0.043895699373463784,1500000000.0,1228800.0,0.12603642223481087,1,7,1
1,1,Greedy,45,7,0,0.11570170585193917,0.11215933130972372,0.0,0.003542374542215454,1500000000.0,1638400.0,0.12643397291323255,3,7,1
1,1,Greedy,46,4,0,0.10590012885611039,0.06372025747255967,0.0,0.04217987138355071,1000000000.0,1638400.0,0.12883279886478657,4,4,1
1,1,Greedy,47,6,0,0.11537543519818333,0.15705018032826185,0.04167474513007852,-0.04167474513007852,2000000000.0,1228800.0,0.10977156575843901,2,6,1
1,1,Greedy,48,8,1,0.11051259046324509,0.10600587019621484,0.0,0.004506720267030251,2000000000.0,1228800.0,0.1740944453238159,6,-1,0
1,1,Greedy,49,8,1,0.10298096046741426,0.0949403769982333,0.0,0.008040583469180962,2000000000.0,1228800.0,0.16506724295996503,2,-1,0
1,1,Greedy,50,8,1,0.11929935487959471,0.05899857395294813,0.0,0.060300780926646584,1000000000.0,1638400.0,0.16065080906412627,4,-1,0
1,1,Greedy,51,1,0,0.10803272447777035,0.10779263633181452,0.0,0.00024008814595583017,2000000000.0,819200.0,0.10340455822777755,6,1,1
1,1,Greedy,52,7,0,0.10590468511325392,0.10587409216072992,0.0,3.059295252400007e-05,1000000000.0,1228800.0,0.14294641446388776,1,7,1
1,1,Greedy,53,8,1,0.1169399674126746,0.078079146597488,0.0,0.03886082081518659,1500000000.0,1638400.0,0.16852035898998427,2,-1,0
1,1,Greedy,54,3,0,0.1024892066503096,0.07682735096936458,0.0,0.02566185568094502,2000000000.0,1228800.0,0.11563466499035864,5,3,1
1,1,Greedy,55,1,0,0.11467180922147406,0.05060438368885346,0.0,0.0640674255326206,1000000000.0,1638400.0,0.1385657844657551,1,1,1
1,1,Greedy,56,8,1,0.10375649485130937,0.09776740722504194,0.0,0.005989087626267431,2000000000.0,1638400.0,0.1019834145469937,7,-1,0
1,1,Greedy,57,1,0,0.10784983552025165,0.10288579840911133,0.0,0.004964037111140324,1000000000.0,1638400.0,0.10818579970772421,1,1,1
1,1,Greedy,58,4,0,0.10463799756924277,0.05972062020876663,0.0,0.04491737736047614,1000000000.0,1228800.0,0.12164535799990539,0,4,1
1,1,Greedy,59,1,0,0.11682455985384774,0.06977469601295783,0.0,0.04704986384088991,2000000000.0,1638400.0,0.14146501611412488,2,1,1
1,1,Greedy,60,1,0,0.10780149103879724,0.08674373450157591,0.0,0.021057756537221334,1500000000.0,819200.0,0.146324003628738,2,1,1
1,1,Greedy,61,1,0,0.11949385625764578,0.07094645927175491,0.0,0.04854739698589086,1500000000.0,1228800.0,0.1884521531618113,5,1,1
1,1,Greedy,62,4,0,0.11250522968830214,0.037557161870401735,0.0,0.0749480678179004,1000000000.0,819200.0,0.13166584421740132,4,4,1
1,1,Greedy,63,8,1,0.11387245669405831,0.05466692201053767,0.0,0.05920553468352064,1000000000.0,819200.0,0.10214638762771915,5,-1,0
1,1,Greedy,64,3,0,0.11043050244264835,0.09688332361006396,0.0,0.013547178832584383,1500000000.0,1638400.0,0.18262233467711653,1,3,1
1,1,Greedy,65,3,0,0.10617936398151183,0.10810128419517412,0.0019219202136622898,-0.0019219202136622898,1500000000.0,1638400.0,0.10618469353735728,5,3,1
1,1,Greedy,66,8,1,0.10791112842104858,0.07559498218825915,0.0,0.03231614623278943,1500000000.0,1638400.0,0.10929919926622284,0,-1,0
1,1,Greedy,67,1,0,0.11881868375323804,0.060362348303250414,0.0,0.05845633544998762,2000000000.0,819200.0,0.1963181716739735,1,1,1
1,1,Greedy,68,0,0,0.1040240640144933,0.08161717351159113,0.0,0.022406890502902163,1500000000.0,1638400.0,0.17533654181283587,7,0,1
1,1,Greedy,69,3,0,0.11976437802440425,0.08847341781866398,0.0,0.031290960205740265,1500000000.0,1638400.0,0.1337854202779255,5,3,1
1,1,Greedy,70,1,0,0.11516611724007636,0.08743781319839064,0.0,0.02772830404168572,2000000000.0,819200.0,0.11321788416191958,3,1,1
1,1,Greedy,71,4,0,0.1071957385298522,0.08396226831677098,0.0,0.023233470213081225,2000000000.0,819200.0,0.13867305731718615,2,4,1
1,1,Greedy,72,0,0,0.11283027179011207,0.10446212529339989,0.0,0.008368146496712178,1500000000.0,1638400.0,0.13391948927801736,4,0,1
1,1,Greedy,73,1,0,0.10761963078586176,0.05826542567520327,0.0,0.04935420511065849,1000000000.0,1638400.0,0.18744412014424733,0,1,1
1,1,Greedy,74,8,1,0.10762985865279841,0.09870921228098624,0.0,0.008920646371812169,2000000000.0,1228800.0,0.141875301731404,7,-1,0
1,1,Greedy,75,4,0,0.11007605900389059,0.0720437067298681,0.0,0.03803235227402249,1500000000.0,819200.0,0.10820450060156221,0,4,1
1,1,Greedy,76,3,0,0.10033445643270755,0.07242074572779095,0.0,0.027913710704916606,2000000000.0,819200.0,0.19268052023585863,2,3,1
1,1,Greedy,77,4,0,0.10987143119886793,0.07904629367678156,0.0,0.030825137522086363,1500000000.0,1228800.0,0.16223133637152604,3,4,1
1,1,Greedy,78,1,0,0.11943196826893776,0.08616630358265964,0.0,0.03326566468627812,1500000000.0,1638400.0,0.11167098567810023,1,1,1
1,1,Greedy,79,8,1,0.10570930457571157,0.06253177459915608,0.0,0.04317752997655548,1000000000.0,819200.0,0.11131741600464223,7,-1,0
1,1,Greedy,80,4,0,0.11496435918153224,0.05678588077324182,0.0,0.058178478408290414,1500000000.0,819200.0,0.14659332411642642,4,4,1
1,1,Greedy,81,5,0,0.1088557778014099,0.10892328418926739,6.750638785749108e-05,-6.750638785749108e-05,1500000000.0,1638400.0,0.10920889656891163,6,5,1
1,1,Greedy,82,5,0,0.1041856208523557,0.10409087266739359,0.0,9.474818496212067e-05,2000000000.0,1638400.0,0.16317521922027586,7,5,1
1,1,Greedy,83,4,0,0.11810005141636258,0.08466307073723685,0.0,0.03343698067912573,2000000000.0,819200.0,0.16163837910949103,1,4,1
